ID,Edad,Género,Estado Civil,Tipo de Contrato,Nivel de Responsabilidad,Satisfacción Laboral,Nivel de Estrés,Texto,Fecha y Hora,Estado de Estrés,Consejo para el Estrés
52,45,M,Casado,Tiempo Parcial,Bajo,1,2,"Hoy fue un día muy satisfactorio, cumplí con todas mis metas.",2024-09-06 15:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
93,37,M,Soltero,Tiempo Completo,Bajo,3,10,"Hoy fue un día muy desorganizado, pero logré sacar adelante mis tareas.",2024-12-10 08:06:38.986,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
15,35,M,Divorciado,Tiempo Parcial,Medio,3,2,El estrés no me deja disfrutar de los momentos de descanso.,2024-11-26 10:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
72,27,F,Divorciado,Tiempo Parcial,Bajo,1,2,"Hoy fue un día muy gratificante, recibí el reconocimiento de mi jefe.",2025-01-07 05:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
61,26,M,Soltero,Tiempo Completo,Medio,4,5,"Hoy fue un día muy desafiante, pero aprendí mucho en el proceso.",2024-05-08 14:06:38.986,No Estresado,Ponte tus audífonos y escucha tu canción favorita por unos minutos.
21,34,F,Casado,Tiempo Completo,Alto,3,6,La falta de comunicación hoy hizo que todo se volviera más complicado.,2024-10-29 04:06:38.986,Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
83,43,M,Casado,Tiempo Completo,Bajo,4,8,"Hoy fue un día muy caótico, pero logré mantener la calma y resolver los problemas.",2025-02-17 07:06:38.986,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
87,39,M,Casado,Tiempo Parcial,Alto,4,4,"Hoy fue un día muy inspirador, aprendí cosas nuevas y valiosas.",2024-06-13 13:06:38.986,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
75,51,F,Divorciado,Tiempo Completo,Medio,4,8,La falta de comunicación hoy hizo que todo se volviera más complicado.,2025-02-21 15:06:38.986,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
75,51,F,Divorciado,Tiempo Completo,Medio,1,1,"Hoy fue un día muy gratificante, recibí feedback positivo de mi jefe.",2024-08-07 03:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
88,47,F,Casado,Tiempo Completo,Alto,2,3,Me siento motivado por los nuevos desafíos que se presentaron hoy.,2024-05-10 02:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
100,31,F,Casado,Tiempo Parcial,Medio,4,9,Me siento abrumado por la cantidad de responsabilidades que tengo.,2024-10-28 05:06:38.986,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
24,27,F,Soltero,Tiempo Parcial,Bajo,2,4,"El ambiente laboral hoy fue muy relajado y agradable.Hoy fue un día muy tranquilo, pude enfocarme en mis tareas sin distracciones.",2025-03-10 17:06:38.986,No Estresado,Ponte tus audífonos y escucha tu canción favorita por unos minutos.
3,55,M,Casado,Tiempo Parcial,Medio,2,4,El ambiente en la oficina hoy fue muy animado y lleno de energía.,2024-12-30 09:06:38.986,No Estresado,"Tómate una pausa corta, ve por un vaso de agua y haz una pequeña caminata dentro de la oficina."
22,31,F,Divorciado,Tiempo Parcial,Alto,3,6,Me siento frustrado porque no tengo suficiente tiempo para hacer todo lo que necesito.,2024-11-15 01:06:38.986,Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
53,57,M,Casado,Tiempo Parcial,Medio,4,8,Me siento abrumado por la cantidad de correos electrónicos que tengo que responder.,2025-02-07 09:06:38.986,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
2,26,F,Casado,Tiempo Completo,Bajo,4,2,"Pude enfocarme al 100% en lo importante, fue un día muy efectivo.",2024-04-28 23:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
88,47,F,Casado,Tiempo Completo,Alto,4,2,El estrés me está afectando tanto que no puedo disfrutar de mi tiempo libre.,2025-02-28 13:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
30,30,M,Soltero,Tiempo Completo,Alto,2,3,Me siento agradecido por el apoyo que recibí de mis compañeros hoy.,2024-04-14 17:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
38,53,M,Soltero,Tiempo Parcial,Bajo,1,1,"Hoy fue un día muy productivo, logré avanzar en todos los proyectos importantes.",2024-12-14 03:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
2,26,F,Casado,Tiempo Completo,Bajo,2,2,Me siento agradecido por el apoyo que recibí de mis compañeros hoy.,2024-06-26 14:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
64,57,F,Divorciado,Tiempo Completo,Bajo,4,2,"Hoy fue un día muy gratificante, recibí el reconocimiento de mi jefe.",2024-09-14 08:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
60,32,F,Casado,Tiempo Parcial,Medio,4,3,"Hoy fue un día muy inspirador, me siento lleno de energía.",2024-06-02 12:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
21,34,F,Casado,Tiempo Completo,Alto,4,2,"Hoy fue un día muy relajado, pude trabajar a mi propio ritmo.",2024-10-09 06:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
33,26,M,Casado,Tiempo Parcial,Medio,2,9,Me siento agotado después de un día lleno de actividades y responsabilidades.,2024-04-28 22:06:38.986,Estresado,Sal unos minutos a tomar aire fresco o mira un video relajante desde tu celular.
76,32,F,Soltero,Tiempo Completo,Alto,4,1,"Hoy fue un día muy relajado, pude trabajar a mi propio ritmo.",2024-09-18 15:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
58,27,M,Divorciado,Tiempo Parcial,Alto,3,5,El ambiente en la oficina hoy fue muy animado y lleno de energía.,2024-09-20 17:06:38.986,No Estresado,Ponte tus audífonos y escucha tu canción favorita por unos minutos.
22,31,F,Divorciado,Tiempo Parcial,Alto,4,4,"Hoy fue un día muy gratificante, recibí feedback positivo de mi jefe.",2024-12-29 03:06:38.986,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
89,48,M,Casado,Tiempo Completo,Alto,1,5,Me siento frustrado porque no tengo suficiente tiempo para hacer todo lo que necesito.,2024-05-25 04:06:38.986,Estresado,"Tómate una pausa corta, ve por un vaso de agua y haz una pequeña caminata dentro de la oficina."
49,21,M,Casado,Tiempo Parcial,Alto,3,8,Me siento agotado después de un día lleno de actividades y responsabilidades.,2024-11-21 04:06:38.986,Estresado,Sal unos minutos a tomar aire fresco o mira un video relajante desde tu celular.
91,26,F,Divorciado,Tiempo Completo,Bajo,4,2,"Hoy tuve que lidiar con un cliente muy difícil, pero logré resolver el problema.",2024-11-02 01:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
59,40,M,Soltero,Tiempo Completo,Alto,3,3,El estrés no me deja disfrutar de los momentos de descanso.,2024-11-23 00:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
42,47,F,Soltero,Tiempo Parcial,Bajo,4,9,Me siento frustrado por la falta de comunicación en el equipo.,2025-01-04 20:06:38.986,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
92,57,M,Casado,Tiempo Parcial,Bajo,1,8,Me siento abrumado por la cantidad de tareas que tengo que hacer mañana.,2024-06-11 15:06:38.986,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
60,32,F,Casado,Tiempo Parcial,Medio,4,2,"Hoy fue un día muy relajado, pude trabajar a mi propio ritmo.",2024-04-22 08:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
80,52,F,Soltero,Tiempo Parcial,Medio,3,9,Me siento abrumado por la cantidad de correos electrónicos que tengo que responder.,2024-03-22 23:06:38.986,Estresado,Realiza un breve ejercicio de relajación sentado o escribe en una nota lo que te preocupa para despejar la mente.
15,35,M,Divorciado,Tiempo Parcial,Medio,1,5,Me siento motivado y con energía para seguir adelante.,2024-05-29 07:06:38.986,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
62,42,M,Soltero,Tiempo Completo,Alto,2,10,No puedo evitar sentirme estresado por los cambios constantes en el proyecto.,2024-11-21 12:06:38.986,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
62,42,M,Soltero,Tiempo Completo,Alto,1,4,El estrés no me deja disfrutar de los pequeños logros del día.,2025-02-17 15:06:38.986,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
47,45,M,Divorciado,Tiempo Parcial,Alto,1,2,"Hoy fue un día muy productivo, logré avanzar en todos los proyectos importantes.",2024-04-08 12:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
62,42,M,Soltero,Tiempo Completo,Alto,1,7,Me siento frustrado porque no tengo los recursos necesarios para hacer mi trabajo.,2024-09-25 20:06:38.986,Estresado,Organiza tu espacio de trabajo por unos minutos o realiza respiraciones conscientes.
51,42,F,Divorciado,Tiempo Completo,Alto,3,4,"El equipo trabajó muy bien hoy, todos colaboraron de manera eficiente.",2024-11-24 06:06:38.986,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
55,25,M,Soltero,Tiempo Completo,Alto,1,5,Me siento motivado por los nuevos desafíos que se presentaron hoy.,2024-09-04 08:06:38.986,No Estresado,Ponte tus audífonos y escucha tu canción favorita por unos minutos.
64,57,F,Divorciado,Tiempo Completo,Bajo,4,5,El equipo hoy demostró un gran compromiso con los objetivos del proyecto.,2024-03-23 14:06:38.986,No Estresado,"Tómate una pausa corta, ve por un vaso de agua y haz una pequeña caminata dentro de la oficina."
3,55,M,Casado,Tiempo Parcial,Medio,1,1,Me siento relajado y satisfecho con mi desempeño laboral.,2025-02-08 05:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
51,42,F,Divorciado,Tiempo Completo,Alto,1,2,"El trabajo me está superando, no puedo más.",2024-05-05 14:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
7,37,M,Divorciado,Tiempo Completo,Medio,4,5,"Hoy fue un día muy desorganizado, pero logré sacar adelante mis tareas.",2024-09-12 07:06:38.986,Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
21,34,F,Casado,Tiempo Completo,Alto,4,3,"Hoy fue un día muy positivo, recibí el reconocimiento de mis colegas.",2024-10-17 07:06:38.986,No Estresado,Tómate un momento para respirar profundamente y estírate en tu puesto.
73,33,M,Divorciado,Tiempo Parcial,Bajo,2,4,El apoyo de mis compañeros hoy fue fundamental para superar los obstáculos.,2024-06-18 07:06:38.986,No Estresado,"Levántate, camina un poco por la oficina y conversa brevemente con un compañero."
